common name,scientific name,general info,water frequency
daisy,bellis perennis,"Bellis perennis, the daisy, is a common European species of the family Asteraceae, often considered the archetypal species of that name. To distinguish this species from other ""daisies"" it is sometimes qualified as common daisy, lawn daisy or English daisy.",once per week
dandelion,taraxacum,"Taraxacum is a large genus of flowering plants in the family Asteraceae, which consists of species commonly known as dandelions. The scientific and hobby study of the genus is known as taraxacology.",once every two to three days
rose,rosa,"A rose is a woody perennial flowering plant of the genus Rosa, in the family Rosaceae, or the flower it bears. There are over three hundred species and tens of thousands of cultivars. They form a group of plants that can be erect shrubs, climbing, or trailing, with stems that are often armed with sharp prickles.","once every other day for new roses, then once per week"
sunflower,helianthus,"Helianthus is a genus comprising about 70 species of annual and perennial flowering plants in the daisy family Asteraceae. Except for three South American species, the species of Helianthus are native to North America and Central America.","twice a day until germination, then once per week"
tulip,tulipa,"Tulips are a genus of spring-blooming perennial herbaceous bulbiferous geophytes. The flowers are usually large, showy and brightly colored, generally red, pink, yellow, or white. They often have a different colored blotch at the base of the tepals, internally.",once while planting then only during extended dry spouts
pink primrose,oenothora speciosa,"The Pink Primrose, also known as the Pink ladies, is a large four-petaled flower. Its flowers range from dark pink to white, with nodding buds that are in the upper leaf axils of the stem. These flowers are originally native to only the central grasslands located in the midwest and south of the United States of America.",Once a week through the summer months or during periods of drought but less often during the fall season
hard-leaved pocket orchid,Paphiopedilum micranthum,"The hard-leaved pocket orchid, also commonly known as the silver slipper orchid, is known to bloom during late winter to early summer. This plant is found from northern Vietnam to western and nothern Guangxi. It is usually located on cliffs and within crevices containing leaf litter, clay, and limestone.",Water once a week during the winter and twice a week when the weather is hot and dry.
canterbury bells,Campanula medium,"Canterbury bells is a biennial found in the European and North American landscapes. It is a medium-sized plant with an upright form featuring its various bell-shaped flowers. The color of this plant can range from pink, white, purple, and blue.","Water consistently enough to keep the soil moist, from 3 to 4 times a week. Reduce the watering to once a week during the winter."
sweet pea,Lathyrus odoratus,"The sweet pea is a flower that can found at many homes in a garden, woodland or on an arch. They are found in many colors, from pearly white to magenta and purple. ","Water them regularly during hot summer days. Otherwise, water them once a week. "
english marigold,Calendula officinalis,"English marigolds are bright annual plants that bloom from early summer to the first frost. They are native to the Canary Islands, Europe, and North Africa. They are found in different shades of yellow, orange, apricot and cream. ","Water once a week unless it is unusually hot or windy, which is when they will need more water."
tiger lily,Lilium lancifolium,"The Tiger lily is a herbaceous perennial that grows from bulbs, producing long stalks that grow flowers in the summertime. They are native to Eastern Asia, and are found in the colors orange, red, yellow, white, and pink. ",Water deeply once a week
moon orchid,Phalaenopsis amabilis,"The moon orchid is one of the most widely grown orchids. It is a species of plant that is native to the East Indies and Australia. It does not vary much in color, as most of moon orchids are found in white. ",Water once every 7-10 days. Too much watering may lead to the root to rot and cause over watering problems.
